neighborhood,tree_count,per_master,per_bachelor,per_diploma,neighborhood_area,population_2010,population_under_poverty_2010,per_residential_area,per_industrial_area,per_commercial_area,median_home_value,landslide_prone,per_population_under_poverty_2010,population_density,area_norm_stormwater_benefits_dollar_value,area_norm_air_quality_benfits_total_dollar_value,area_norm_co2_benefits_dollar_value,area_norm_overall_benefits_dollar_value,area_norm_tree_count
Bluff,200,0.033210332103321034,0.10055350553505535,0.31411439114391143,9127700.0,6600,1095,7.4,18.6,18.1,21200.0,12.3,0.16590909090909092,0.0007230737206525193,0.771962385106775,0.6517498459207763,0.0874766075347943,17.49227771023376,0.21911324868258159
Bon Air,80,0.07462686567164178,0.16252072968490877,0.48092868988391374,8738354.0,808,106,38.3,8.4,4.4,69500.0,38.2,0.1311881188118812,9.24659266493438e-05,0.8398805442845353,0.6571336471092525,0.09436028480928138,9.812760244973697,0.09155042242509287
Brighton Heights,768,0.06946508172362556,0.30014858841010406,0.5824665676077266,31143860.0,7247,1780,59.4,5.1,3.3,81433.0,32.3,0.24561887677659722,0.0002326943416776212,2.488846519329363,1.8258205243076926,0.23168978041882762,30.2996889571079,0.24659756369313246
Brookline,727,0.07120646766169154,0.2563225538971808,0.5414593698175788,58044672.0,13214,1692,71.6,2.5,4.1,82150.0,3.5,0.12804601180566066,0.0002276522468763369,1.3900858975334731,1.0244533708893473,0.13428596194606993,16.18502795486607,0.1252483604352179
California-Kirkbride,81,0.04809619238476954,0.18837675350701402,0.5070140280561122,6050988.0,761,572,29.9,36.2,1.5,113200.0,19.6,0.7516425755584757,0.0001257645858825038,0.9717440449297139,0.7482451900200658,0.09228431374009567,14.448770114268267,0.13386243701028658
Carrick,656,0.04375085184680387,0.18876925173776749,0.5044296033801281,46641072.0,10113,1546,65.2,3.2,5.0,66900.0,6.8,0.15287254029467023,0.00021682606265996631,1.289630456900248,0.9202809787770573,0.12342232615978369,15.305294350453016,0.1406485682833362
Central Business District,965,0.17474048442906576,0.40527681660899656,0.49048442906574397,17846686.0,3629,692,0.0,0.4,0.0,125800.0,0.1,0.19068613943235052,0.00020334307445090926,2.0120774143633327,1.8495891673305134,0.24718279329607037,48.78834512423815,0.5407166350099957
Central Lawrenceville,624,0.11383139828369511,0.356133266027259,0.5863200403836446,26848464.0,4482,1001,20.6,16.1,4.9,66850.0,21.6,0.22333779562695225,0.00016693692421287118,0.7389976862787369,0.6495691146869222,0.08622574945517428,15.499661000925176,0.23241553036330123
Central Northside,608,0.1530104119511091,0.4151199637845179,0.5925758261656858,7218352.0,2923,694,60.8,14.5,9.6,124300.0,12.2,0.23742730071843995,0.0004049400749644794,4.175406052893643,3.5437196978924526,0.470916429182299,74.51383500492898,0.8422975216503712
Central Oakland,358,0.17450365726227796,0.38557993730407525,0.5067920585161965,7843108.0,6086,2897,46.2,0.0,1.0,144350.0,10.6,0.47601051593821886,0.0007759678943602459,4.777216824525886,3.5267393495269954,0.4433015910718141,58.32952284788303,0.45645170256485057
Chartiers City,36,0.09480812641083522,0.18058690744920994,0.46501128668171554,3683600.5,477,22,73.0,4.7,0.0,76700.0,15.6,0.04612159329140461,0.00012949286981582287,1.4585722273985737,0.967074661863126,0.14851893077357614,12.80410945726715,0.09773046778552669
Chateau,257,0.0,0.0,1.0,10688264.0,11,92,0.0,57.7,15.0,0.0,0.0,8.363636363636363,1.029166195745165e-06,1.0380135533611707,0.9091895207521262,0.12667941874164243,24.16722868839504,0.24045064755137036
Crafton Heights,282,0.034309946029298384,0.25134926754047804,0.535851966075559,21011160.0,3814,630,74.1,2.3,1.3,76650.0,36.3,0.16518091242789723,0.0001815225813329678,1.5087019518414384,1.0578602045463896,0.14758420813000678,18.053157027660433,0.13421438892474286
Crawford-Roberts,467,0.0284789644012945,0.08673139158576051,0.43624595469255667,7202139.0,2256,988,73.4,0.0,12.5,94600.0,24.7,0.4379432624113475,0.0003132402748683412,3.597543959556239,2.9523390748602565,0.42064410273021735,59.38727134987436,0.6484184767886318
Duquesne Heights,82,0.1415929203539823,0.35398230088495575,0.6263520157325466,17364276.0,2425,331,36.1,3.6,1.4,100500.0,41.5,0.13649484536082473,0.00013965454131228966,0.3085786591958012,0.23902959019695713,0.03159386659628589,4.208361825544295,0.04722339128910413
East Allegheny,349,0.08929561841375486,0.29894620077648365,0.5524126455906821,6577919.5,2136,538,48.4,4.2,13.3,77100.0,11.1,0.25187265917602997,0.0003247227333809725,2.904562510766853,2.5918616312888028,0.3595993872701665,49.6076902371122,0.5305628930241545
East Carnegie,4,0.022321428571428572,0.17410714285714285,0.4799107142857143,12049543.0,570,32,36.0,26.2,0.4,63500.0,0.0,0.056140350877192984,4.7304698609731506e-05,0.03801812299520405,0.02823253623574604,0.003214290201205971,0.5134328264602235,0.0033196279726127372
East Hills,412,0.04144527098831031,0.11211477151965993,0.46546227417640806,15092615.0,3169,1073,89.7,5.6,2.3,40700.0,0.0,0.3385926159671821,0.00020997024041228112,3.3361043988773824,2.334612230059523,0.28829008127568223,39.664780458764035,0.27298118980706787
East Liberty,1239,0.12985685071574643,0.3338445807770961,0.5230061349693251,16201454.0,5869,2030,61.3,3.0,26.4,64650.0,0.8,0.34588515931163744,0.00036225143743271436,3.9156494145745615,3.1231617353633863,0.38648674317714776,63.309383686236124,0.7647461764851475
Elliott,133,0.0416116248348745,0.16842800528401586,0.500660501981506,16904768.0,2381,445,38.3,1.8,2.8,51300.0,37.6,0.1868962620747585,0.00014084783653937162,0.9147250265633298,0.7072954225065621,0.08949031485601633,10.487320664818403,0.07867602797033357
Esplen,2,0.031746031746031744,0.15873015873015872,0.5357142857142857,6409852.5,301,159,15.9,80.4,0.0,51400.0,0.2,0.5282392026578073,4.695895888399928e-05,0.023124869746113504,0.015815104602971752,0.0016948169622542795,0.33227487057089067,0.003120196603587992
Fairywood,27,0.1280193236714976,0.4528985507246377,0.5821256038647343,27002274.0,1002,150,20.2,59.1,4.2,72800.0,6.3,0.1497005988023952,3.710798579408534e-05,0.19216190071318437,0.12009851853256914,0.0174660642940789,2.07403417900185,0.009999157848705632
Fineview,85,0.04983388704318937,0.13067552602436325,0.4651162790697675,6958774.0,1285,473,46.4,0.0,4.3,58900.0,92.0,0.3680933852140078,0.00018465896435205397,1.1836311628344376,0.8284216194978713,0.10253662174375003,16.83292303444831,0.12214795307334309
Friendship,304,0.3331085637221848,0.5691166554281861,0.6749831422791639,2961361.7,1785,334,78.8,0.0,20.4,167300.0,0.0,0.18711484593837535,0.0006027632490823394,6.207738202847659,5.120733771272682,0.6641683718738447,86.61186373856162,1.0265547771486339
Garfield,507,0.049786075457020615,0.15208090237261768,0.40840140023337224,12751163.0,3675,1852,88.4,0.0,6.6,60300.0,2.4,0.5039455782312925,0.0002882090049354714,2.7550778879619027,2.031796749550509,0.2709753360045427,41.34483455638215,0.3976107904824054
Glen Hazel,2,0.011764705882352941,0.03529411764705882,0.3764705882352941,12713036.0,716,200,19.2,11.3,0.0,0.0,58.8,0.27932960893854747,5.6320142568620114e-05,0.0047472252299608055,0.0026360264936400716,0.00027809466202361106,0.12352855910327006,0.0015731883399055899
Greenfield,615,0.15233628626020496,0.3745006079555324,0.5860691332291124,21551120.0,7294,725,75.4,2.2,4.9,90900.0,15.3,0.09939676446394297,0.0003384510874608837,2.6637748723429637,1.9279508819066402,0.25575559536590026,31.54799210222922,0.2853679994357602
Hays,1,0.0,0.06535947712418301,0.3856209150326797,48800708.0,362,161,13.5,9.4,0.0,50800.0,46.9,0.4447513812154696,7.417925166167671e-06,0.001149265268714954,0.00034835309117851323,2.70220005937209e-05,0.03717108254617945,0.00020491505983888595
Hazelwood,487,0.04397068620919387,0.1362425049966689,0.4223850766155896,44132028.0,4317,1059,28.3,34.8,1.4,65550.0,26.4,0.2453092425295344,9.782011377315359e-05,0.9469593866451398,0.6710672330581886,0.0908311137859749,12.997743974137501,0.11035069587103498
Highland Park,2736,0.1946266130738312,0.44044848741273535,0.6367675058176433,32419862.0,6395,621,44.1,0.0,0.9,167400.0,16.4,0.09710711493354184,0.00019725562064391267,12.02681010625835,8.572447374114923,1.1267738287714484,125.63823299940974,0.8439270962967085
Homewood North,288,0.05272013460459899,0.10039259674705553,0.3595064498037016,12103512.0,3280,1988,89.9,0.0,3.3,35450.0,0.0,0.6060975609756097,0.000270995724216244,2.024380362365725,1.4694929180097165,0.17787395845030507,27.394233560405247,0.23794746516548254
Homewood South,300,0.06746310611384398,0.15179198875614897,0.43851018973998596,11104194.0,2344,675,69.2,13.4,14.2,48400.0,0.0,0.2879692832764505,0.00021109141284815448,2.311347480406961,1.7296823678953241,0.206497149691758,30.498696124885555,0.2701681905053172
Homewood West,70,0.008995502248875561,0.04947526236881559,0.37031484257871067,5542252.5,818,338,52.2,34.9,6.5,34500.0,4.0,0.4132029339853301,0.0001475934198234382,0.9477629542006034,0.6742192556940755,0.09524484506948196,13.722050756057289,0.12630243750171974
Knoxville,414,0.04317998385794996,0.08797417271993543,0.5363196125907991,8411048.0,3747,1130,94.0,0.0,5.9,39900.0,0.1,0.30157459300773953,0.00044548550905903757,5.432236624059717,3.7056588323318564,0.5410458566736648,60.54254092828232,0.49220976981703113
Larimer,285,0.0018001800180018,0.0351035103510351,0.40324032403240323,12407882.0,1728,333,44.5,33.6,8.1,34850.0,10.0,0.19270833333333334,0.0001392663147505755,1.7069846484591331,1.2801110051527977,0.16377211485330936,22.98838909440121,0.22969270661987276
Lincoln Place,241,0.026325829835940482,0.1682563906905761,0.5696299122472339,27425090.0,3227,129,80.1,0.0,1.7,77700.0,5.6,0.039975209172606135,0.00011766597666589244,1.0365570623250338,0.703643702753073,0.09200130843400259,11.333915799179845,0.08787573714434484
Lincoln-Lemington-Belmar,475,0.052344931921331314,0.17367624810892587,0.5192133131618759,7809355.5,4883,1490,32.3,1.6,6.4,43767.0,20.8,0.30514028261314763,0.0006252756709564573,7.579483348685461,5.017223854097145,0.6157199314877778,93.4094174513179,0.6082448161055032
Lower Lawrenceville,458,0.0759297520661157,0.33006198347107435,0.5418388429752066,11984375.0,2341,1008,23.7,54.6,10.9,56900.0,4.7,0.43058521999145666,0.00019533767926988266,1.833182942473002,1.5965408791618099,0.2265418793006183,33.73103384394097,0.38216427640156453
Manchester,577,0.0679419525065963,0.25659630606860157,0.4703166226912928,7785965.5,2130,391,74.8,20.9,0.0,101300.0,0.0,0.1835680751173709,0.0002735691546539732,4.647438130451765,3.4770543849138256,0.43487546250304904,75.9664814094978,0.7410770057997303
Marshall-Shadeland,423,0.025730994152046785,0.08467836257309941,0.36374269005847953,6426350.5,6043,1265,32.5,44.1,3.1,61900.0,27.6,0.20933311269237134,0.0009403470912456456,6.212987800954853,4.434545035255022,0.613781409655925,77.1307665826763,0.6582274029404404
Middle Hill,250,0.04885270170244264,0.09770540340488527,0.3478904515173945,8503223.0,1707,429,79.5,0.0,20.4,72800.0,0.0,0.2513181019332162,0.00020074741071708928,1.4526115106554873,1.1647590400635939,0.15475545945877003,27.112346289691438,0.2940061668381507
Morningside,373,0.08719560094265515,0.33110761979575803,0.5887666928515318,10650824.0,3346,193,60.7,14.4,3.7,89700.0,26.0,0.057680812910938434,0.00031415409737312343,2.6037403573081646,1.9476280028711503,0.2594555652495914,33.94928719847231,0.350207645906082
Mount Washington,674,0.09922958397534669,0.3440677966101695,0.5907550077041602,31760998.0,8799,1926,55.9,5.4,3.9,78175.0,23.8,0.21888851005796114,0.00027703789408632564,1.7968158420569478,1.4178194019098955,0.1775030012765206,22.110878976530042,0.21220995637479653
Mt. Oliver,13,0.011037527593818985,0.06181015452538632,0.42825607064017657,2871538.2,509,201,87.0,0.0,0.0,56700.0,9.2,0.3948919449901768,0.00017725691408179768,0.31538181123611725,0.20286465456167013,0.02934692058210822,4.3159116352309015,0.045271903400066205
New Homestead,179,0.09957325746799431,0.29160739687055476,0.6017069701280228,22145166.0,990,115,67.0,0.3,0.0,117400.0,30.9,0.11616161616161616,4.470501598407526e-05,1.134622107687418,0.8424747713213696,0.10824563356922526,11.362982539739964,0.08083028142575224
North Oakland,728,0.3064804869316147,0.5993555316863588,0.6638023630504835,13904629.0,10551,1989,34.4,6.1,0.0,273000.0,17.9,0.1885129371623543,0.0007588120474124121,4.712056046877026,3.5397188069790757,0.4446136593681606,58.29311525113029,0.5235666482003942
North Shore,428,0.1111111111111111,0.49122807017543857,0.5438596491228069,8455805.0,303,0,0.0,0.1,0.3,0.0,0.0,0.0,3.583337127570941e-05,2.20353299417435,2.114309224977098,0.27145526465196906,52.008257686887355,0.506161152013321
Northview Heights,6,0.004838709677419355,0.016129032258064516,0.31451612903225806,8739570.0,1214,834,53.1,3.3,1.0,0.0,38.0,0.6869851729818781,0.00013890843599856744,0.06789278950505574,0.047263520709611574,0.005933413866765756,1.0756941899679273,0.006865326326123597
Oakwood,87,0.07394366197183098,0.215962441314554,0.5504694835680751,7024962.0,1027,137,63.2,0.0,16.7,108500.0,0.0,0.13339824732229796,0.00014619296161317314,1.3938240144876797,1.0367413955834552,0.11616870669007077,16.070322044354004,0.12384408627406099
Overbrook,245,0.04172560113154172,0.15134370579915135,0.5480905233380481,23393388.0,3644,445,65.9,1.9,17.0,76200.0,0.0,0.1221185510428101,0.0001557705108811088,1.0483112601563833,0.6766791326479253,0.10057537851320617,12.377647498265066,0.10473044776583879
Perry North,927,0.10221586847748391,0.33130807719799854,0.5550393137955683,33781248.0,4050,621,38.4,0.0,1.0,76300.0,59.0,0.15333333333333332,0.00011988899877233665,3.5751022974652495,2.5430317696332105,0.3215553453997508,40.55907036044517,0.274412597190015
Perry South,301,0.05928853754940711,0.18708827404479578,0.48967940272288096,25220622.0,4145,1418,37.7,1.2,1.5,51350.0,31.9,0.3420989143546441,0.00016434963420013988,1.3299153359802427,0.9239218745239116,0.1232229127351459,16.343225566765444,0.11934677899696526
Point Breeze,1158,0.24702453242652417,0.5278115132377945,0.5977653631284916,27997334.0,5315,264,60.5,0.0,0.8,240300.0,3.8,0.04967074317968015,0.00018983950400420268,6.004194518924348,4.3040118969656325,0.5615340307041206,60.774945691685716,0.41361081022928825
Point Breeze North,422,0.1702274293590627,0.4996554100620262,0.5733976567884218,7968760.0,2054,331,60.0,29.9,3.6,99500.0,0.0,0.1611489776046738,0.0002577565392859115,6.353290076295864,4.495533695521593,0.6077746344816118,72.685354736069,0.5295679628951054
Polish Hill,238,0.07959743824336687,0.2744739249771272,0.5297346752058555,7097053.0,1274,103,26.4,28.0,10.3,62700.0,75.0,0.08084772370486656,0.00017951112947867234,1.2972672426799758,1.069234835070049,0.14164467374730633,22.00149766195979,0.33535046166345384
Regent Square,408,0.3258145363408521,0.6190476190476191,0.6967418546365916,5362860.0,928,12,45.1,0.0,0.4,196300.0,32.8,0.01293103448275862,0.0001730419962482705,10.523207319895395,7.371607079934241,0.9436320869512484,110.14672959895778,0.7607880869536031
Ridgemont,30,0.11851851851851852,0.3296296296296296,0.6222222222222222,10278895.0,483,39,46.2,0.0,0.0,90500.0,29.7,0.08074534161490683,4.6989486710390564e-05,0.26902745666003397,0.15429014072643024,0.01925616448324669,3.2844150818817,0.029186016590304696
Shadyside,1317,0.23993306139525153,0.5881183976571488,0.659763623051982,25673624.0,13915,2656,82.1,0.0,11.3,264860.0,1.1,0.19087315846209127,0.0005419959410482915,5.202999117449583,3.850338240642954,0.503621143734126,65.0219514939607,0.5129778328139416
Sheraden,279,0.06880222841225626,0.215041782729805,0.5250696378830084,24807354.0,5299,1481,40.6,7.4,4.9,61600.0,38.2,0.2794866956029439,0.00021360601376511175,1.2095737972425016,0.959368966911086,0.11679750400359237,14.107646834833812,0.11246665001031549
South Oakland,203,0.1134453781512605,0.33361344537815124,0.5428571428571428,14169730.0,2969,988,26.4,6.8,0.0,77200.0,23.2,0.33277197709666556,0.00020953116255567326,0.8002534140848943,0.6082165669930693,0.07611866048504132,12.410915369713084,0.14326313910003932
South Shore,1,0.5,0.5,0.5,5905659.5,19,0,0.0,40.8,1.7,0.0,7.6,0.0,3.217252874128622e-06,0.0037585432137257485,0.004031715430833762,0.00046481172639905834,0.07724229645816864,0.0016932909863834852
South Side Flats,1495,0.1430722891566265,0.43022088353413657,0.6335341365461847,26083320.0,6597,1385,24.6,36.3,12.4,153750.0,0.0,0.20994391390025768,0.00025292025708383747,2.329356600638428,2.020685563015039,0.2700291653467088,44.616345238030796,0.5731632322879142
South Side Slopes,178,0.06135986733001658,0.24975124378109453,0.5548922056384743,19973024.0,4423,931,35.1,7.2,1.3,73050.0,66.4,0.2104906172281257,0.00022144868999306264,0.5228162797690654,0.4212049086760264,0.053048675462755886,7.212364454358939,0.08912020533295309
Spring Garden,48,0.013719512195121951,0.07164634146341464,0.46951219512195125,7653279.5,884,189,37.3,11.9,2.1,48000.0,54.3,0.21380090497737556,0.0001155060389470945,0.2901908561855385,0.2494494021936988,0.03343908207555807,5.685134117071826,0.06271821119299249
Spring Hill-City View,94,0.05938697318007663,0.1500638569604087,0.5874840357598978,17550592.0,2648,869,40.7,0.0,1.7,58900.0,57.2,0.32817220543806647,0.00015087810143384338,0.35670243094142917,0.2885363062001897,0.03514037150129439,5.4678523528285545,0.053559446883615094
Squirrel Hill North,1870,0.24713399736891561,0.5072354820522458,0.5536553279458748,34078712.0,11363,797,79.1,0.0,0.7,344900.0,0.4,0.0701399278359588,0.0003334339631145684,9.79505866597815,6.810031852280488,0.8763202118586755,92.4928672616418,0.5487296585622132
Squirrel Hill South,4892,0.23058357038186364,0.5009912938539781,0.6069304370312905,74470128.0,15110,1721,50.2,1.1,2.1,201400.0,21.9,0.11389808074123098,0.00020290014809696581,8.786769011140587,6.2302625361626145,0.7903416145427424,93.93121238810234,0.6569076932431216
St. Clair,12,0.10457516339869281,0.16339869281045752,0.5816993464052288,8640989.0,209,467,39.5,0.2,1.6,41100.0,47.1,2.2344497607655502,2.418704618186645e-05,0.1649334787623153,0.11582517930292238,0.014481477803417641,2.361945159107366,0.01388729924317691
Stanton Heights,624,0.11051743532058493,0.3312710911136108,0.5717097862767154,20492582.0,4601,196,74.6,3.5,1.4,86700.0,18.0,0.042599434905455334,0.0002245202678705885,4.857120248248067,3.3705629388056653,0.4557113751806853,51.2084753045061,0.30450042849651643
Strip District,431,0.1739766081871345,0.5891812865497076,0.6418128654970761,16947852.0,616,10,0.0,71.2,0.0,161800.0,10.9,0.016233766233766232,3.634678896181062e-05,0.7449346490707415,0.6751584615529668,0.09057800341089382,17.635776476070042,0.2543095136776035
Summer Hill,73,0.07150715071507151,0.2871287128712871,0.5797579757975797,12232021.0,1051,96,50.8,0.0,9.3,94400.0,52.8,0.09134157944814462,8.592202384217621e-05,0.6199539383595433,0.44041360042463873,0.06914687050215716,8.09404339965963,0.05967942664585026
Swisshelm Park,238,0.19921491658488713,0.4033366045142296,0.648675171736997,13379806.0,1361,30,64.7,6.9,0.0,108600.0,47.3,0.02204261572373255,0.00010172045842817153,2.5948163411139493,1.751652567740791,0.25677906451350724,24.157898086824805,0.17788000812567836
Terrace Village,254,0.10611735330836454,0.1373283395755306,0.4893882646691636,9529806.0,3228,1060,61.0,0.0,0.0,59300.0,14.7,0.32837670384138784,0.0003387267274905701,1.1003291893544465,0.9398988663272894,0.1182357521190667,23.403677430284127,0.2665321833414028
Troy Hill,195,0.06536312849162011,0.21787709497206703,0.5279329608938548,10717292.0,2714,584,29.3,18.2,3.6,52600.0,23.9,0.21518054532056005,0.00025323561213037773,0.2903808745131599,0.2460203460149967,0.029889788010167166,7.826562211580686,0.18194894755130306
Upper Hill,126,0.08450704225352113,0.18443997317236754,0.4225352112676056,8722606.0,2057,421,76.4,1.9,3.1,66300.0,38.5,0.20466699076324746,0.0002358240186476381,1.410155227177566,1.0124638626229008,0.12548523414481155,18.102968061138725,0.14445224282743024
Upper Lawrenceville,322,0.11690918213748118,0.37932764676367287,0.6322127446061214,11288746.0,2669,722,24.4,53.0,9.1,48700.0,13.9,0.27051330086174596,0.000236430157964401,1.9413457164463996,1.6228416693761198,0.22066092414744995,31.74928865349083,0.2852398308899855
West End,111,0.07692307692307693,0.26373626373626374,0.6483516483516484,5579501.0,254,0,0.8,16.3,29.2,29800.0,16.8,0.0,4.552378429540563e-05,0.9417944766716887,0.7794581414206073,0.11223655709146291,16.425501513345083,0.19894252192086712
West Oakland,71,0.09647058823529411,0.26941176470588235,0.45882352941176474,5999801.5,2604,758,25.5,0.0,3.9,61100.0,64.5,0.2910906298003072,0.0004340143586416984,0.3925723709890086,0.3270737880582499,0.042225095664948586,9.008150434702348,0.11833724832396539
Westwood,247,0.07325718786923986,0.284757778653013,0.6152028357621111,19295586.0,3066,186,71.9,5.4,7.3,93700.0,15.2,0.060665362035225046,0.00015889644398465016,1.584850256607035,1.0034473405798556,0.1369965946586903,16.228417687649543,0.12800855076388973
Windgap,102,0.07035647279549719,0.14446529080675422,0.5281425891181989,11563175.0,1369,72,62.8,11.6,0.5,78200.0,11.0,0.052593133674214754,0.0001183930884034878,1.050865086029382,0.7622988396614206,0.09531522320683021,11.950572761576884,0.08821106659719324
