,neighborhood,tree_count,stormwater_benefits_dollar_value,property_value_benefits_dollarvalue,energy_benefits_electricity_dollar_value,energy_benefits_gas_dollar_value,air_quality_benfits_total_dollar_value,co2_benefits_dollar_value,overall_benefits_dollar_value,Neighborhood_2010_AREA,Neighborhood_2010_ACRES
31,Fairywood,0.04335636037806746,0.8332142310698424,3.5710666447196773,0.9078262616174493,3.0844273451262634,0.5207473198399525,0.07573287564598329,8.993014678018486,27002274.0,622.746
32,Fineview,0.5047106325706595,5.132235283337103,33.62297160839689,6.573261245736099,23.622593095691816,3.592043533971188,0.4445997067931823,72.98770447392953,6958774.0,160.488
33,Friendship,5.183243773518603,26.91678720520651,182.77163766824407,28.522163229735963,112.2555647236009,22.20352997370819,2.8798377363845575,375.5495205367662,2961361.7,68.297
34,Garfield,1.85665658994073,11.946002994827191,95.69328650662851,13.162853837121814,48.484030834063546,8.809859845002745,1.1749476084065373,179.27098162605762,12751163.0,294.077
35,Glen Hazel,0.006821352196645941,0.02058399139438671,0.21976328515366797,0.05549788528293263,0.22713962032660637,0.01142982353523399,0.0012058197900094475,0.5356204254845718,12713036.0,293.197
36,Greenfield,1.3862398094272355,11.550120300435365,57.41064305653128,12.86423343365523,45.4849992597729,8.359589562373916,1.1089555369922741,136.7920043849027,21551120.0,497.028
37,Hays,0.0008885113702800055,0.004983212358935492,0.08653327123586599,0.01544235911301687,0.05258728570500711,0.0015104584437456796,0.00011716735116546037,0.1611737542075456,48800708.0,1125.478
38,Hazelwood,0.5246584561875801,4.106016198219319,26.51960115158061,4.880811673863619,17.5482014632523,2.909747733525234,0.3938437379334775,56.35822195837783,44132028.0,1017.805
39,Highland Park,3.8612207449334015,52.14821683624666,217.63174023388945,52.10040505946918,180.97879368707396,37.170109158872876,4.885688343711772,544.7670462483445,32419862.0,747.691
40,Homewood North,1.361324066776528,8.777714411570502,51.66277871733066,10.953953488426428,40.24398208210262,6.371722134787426,0.7712615857959336,118.7814124199927,12103512.0,279.14
41,Homewood South,1.7298403314420931,10.022004046908775,58.989140408572176,11.777458270471948,43.05848623615581,7.499903773820077,0.8953717636266204,132.24236449952846,11104194.0,256.093
42,Homewood West,0.6962971076287563,4.109515488562483,30.503104427305722,4.667137363144181,16.88286781725518,2.9234255904197566,0.41298318770953385,59.499033874373445,5542252.5,127.819
43,Knoxville,2.180614696208927,23.554145741524597,116.03971708997291,23.802683066933778,80.70264540936019,16.067714690212078,2.3459716214305013,262.5120979213263,8411048.0,193.982
